
========================================================================================================================
【파일】 1986_1990_sermon.txt  (총 169편)
========================================================================================================================
날짜                                  | 제목                                                 | 주요     | 보조
N/A                                 | 권능은 하나님께 속하였다                                      | 기타     | 
1988년 10월 2일                        | 올림픽 후의 우리의 삶                                       | 기타     | 
N/A                                 | 예수님과 함께 참여하는 신앙                                    | 믿음     | 
1988년 10월 16일                       | 장차 될 일                                             | 꿈      | 
N/A                                 | 내 백성을 보내라                                          | 기타     | 
1988년 10월 30일                       | 깨어진 사람                                             | 기타     | 
1988년 11월 27일                       | 측량할 수 없는 하나님의 은혜                                   | 기타     | 
N/A                                 | 하나님의 은혜를 헛되이 받지 말라                                 | 기타     | 
1989년 12월 10일                       | 예수님과 우리와의 관계                                       | 기타     | 
N/A                                 | 도덕성 회복을 위하여                                        | 기타     | 
1989년 3월 5일                         | 형통의 원리                                             | 기타     | 
N/A                                 | 나가서 아말렉과 싸워라                                       | 기타     | 
1989년 5월 7일                         | 어버이와 어린이                                           | 기타     | 
1989년 6월 11일                        | 가난한 것은 하나님의 뜻인가                                    | 기타     | 
N/A                                 | 6.25가 주는 교훈                                        | 기타     | 
1989년 7월 9일                         | 아브라함의 신앙 (재설교)                                     | 믿음     | 꿈
1989년 7월 16일                        | 하늘보고 땅보고                                           | 기타     | 
1989년 7월 30일 주일설교                   | 마음의 평강                                             | 생각     | 
N/A                                 | 하나님의 권면                                            | 기타     | 
N/A                                 | 참된 해방                                              | 기타     | 
N/A                                 | 연합하여 동거함이 복됨                                       | 기타     | 
N/A                                 | 하나님의 명함                                            | 기타     | 
N/A                                 | 그리스도의 왕국                                           | 기타     | 
1989년 9월 24일                        | 결단 있는 믿음                                           | 믿음     | 
N/A                                 | 믿음이 잉태되었을 때                                        | 믿음     | 꿈
N/A                                 | 다만 말씀으로만 하옵소서                                      | 믿음     | 말
N/A                                 | 반석 위에 세운 신앙                                        | 믿음     | 
1989년 11월 5일                        | 하나님을 믿으라                                           | 믿음     | 
1989년 11월 12일                       | 영혼의 병                                              | 기타     | 
N/A                                 | 추수감사의 뜻                                            | 기타     | 
N/A                                 | 마음의 눈                                              | 생각     | 
1990년 1월 7일                         | 이 모든 것을 너희에게 더하시리라                                 | 기타     | 
N/A                                 | 미 혹                                                | 기타     | 
1990년 1월 21일                        | 삶의 밤을 지날 때                                         | 기타     | 
1990년 1월 28일                        | 삶을 좀더 밝게 보며                                        | 생각     | 
